rank,responder,best_iteration,responder_zero_mean_r2,responder_centered_r2,responder_prediction_corr,true_responder_target_corr,hat_target_residual_corr,residual_coefficient,target_baseline_r2,target_augmented_r2,target_incremental_r2
22,responder_26,150,0.7607076943635521,0.5120701528499589,0.7189518150293581,-0.010166407770210823,0.005835196598911262,0.2070814258389565,0.00036231819566012735,0.0003840723926841205,2.175419702399317e-05
23,responder_17,150,0.5120063217799324,0.2677525789676888,0.5248202361733821,0.35906817892614357,0.0061024376293275845,2.0806983714518528,0.00036231819566012735,0.00038180050540115307,1.9482309741025716e-05
24,responder_13,61,0.23074517886765256,0.09108326807326239,0.316449307362702,0.16711100394367542,-0.004678262149817256,-1.1454896836620523,0.00036231819566012735,0.0003782096619368014,1.5891466276674038e-05
25,responder_00,62,0.9502442563539057,0.036196190145492246,0.19113115290109317,-0.04075356927616976,-0.0092502073262629,-0.048350321207251815,0.00036231819566012735,0.0003780290231397698,1.5710827479642475e-05
26,responder_18,87,0.5226270962686608,0.2575631354025848,0.5129491508005288,0.42648012335662067,0.00493505539691795,1.4732302320468076,0.00036231819566012735,0.0003767918923238689,1.4473696663741542e-05
27,responder_38,149,0.864902516239649,0.7813855841028787,0.8943141762961676,0.004096944515101262,0.0033300962447510097,105.83085224722569,0.00036231819566012735,0.0003750056979867633,1.2687502326635958e-05
28,responder_27,150,0.651886225361723,0.37800047180473884,0.621066509642906,-0.00706042670696845,0.004294171413204692,0.08856607059381563,0.00036231819566012735,0.0003747460104803757,1.242781482024835e-05
29,responder_46,135,0.37119517566362126,0.1556043338787444,0.4056659339920884,-0.0058295177906560434,0.0038897652706001936,1.0466711022981272,0.00036231819566012735,0.00037445867682872613,1.2140481168598782e-05
30,responder_19,96,0.5096023963656076,0.23902001676335438,0.4928964129305688,0.3863353608854983,0.004212664896876353,0.9523040599149246,0.00036231819566012735,0.0003721433905230498,9.825194862922437e-06
31,responder_20,114,0.5202915739371896,0.2350414836263237,0.4877366096539973,0.3150511701744854,0.003173051670002385,0.4935159595695521,0.00036231819566012735,0.00036762361044739844,5.30541478727109e-06
32,responder_31,149,0.9186194531524345,0.8630637924993683,0.9407044593157519,0.002309163445632756,0.0014267824162689981,97.66061678244255,0.00036231819566012735,0.0003608707754487739,-1.4474202113534673e-06
33,responder_33,148,0.9332194895924092,0.8861832396568416,0.9546584581964909,0.0013451419870827983,0.0009777705318964084,97.11890168875972,0.00036231819566012735,0.00035774821583578476,-4.569979824342596e-06
34,responder_32,150,0.9343509180833741,0.888139112054162,0.9549933952051521,0.0014937902802192502,0.0010463346800799527,99.69939893908196,0.00036231819566012735,0.00035767514690621116,-4.64304875391619e-06
35,responder_34,150,0.9327136083660272,0.8853222648404009,0.9538692349328761,-0.0007101475225857165,0.0008542281251100152,97.31103584615931,0.00036231819566012735,0.00035675165549364785,-5.5665401664795056e-06
36,responder_35,150,0.935528080297462,0.889758465407053,0.9558259443073331,-0.0034147589285804933,0.0004681963375753846,96.91191286246503,0.00036231819566012735,0.0003538929900029908,-8.425205657136559e-06
37,responder_36,150,0.938395361399071,0.8944623582249746,0.9590754187954286,-0.0037961300574137283,0.00037987909333095203,96.84315118886666,0.00036231819566012735,0.00035333806561055336,-8.980130049573987e-06
38,responder_37,150,0.9207593488874238,0.8660662335729933,0.9433609382439998,-0.002677797890281425,8.805336034910107e-05,98.3423727905243,0.00036231819566012735,0.000350663234249704,-1.1654961410423326e-05
39,responder_02,46,0.8124492858545087,0.0016325089222927192,0.040447989684802885,0.5625428757563733,0.009156817524586039,2.5206933643288174,0.00036231819566012735,0.0002795808113748022,-8.273738428532518e-05
40,responder_01,59,0.8528300291946989,0.0025497335090961526,0.050636822604497506,0.35124555816970576,0.005412484278662222,1.9172322328320701,0.00036231819566012735,0.00022458132637703798,-0.00013773686928308937
41,responder_28,57,0.0017485365722715862,0.0017485365722715862,0.04294173338844666,0.6939623063776111,0.007153553078850675,0.4231213949895064,0.00036231819566012735,0.00019157972976191484,-0.0001707384658982125
42,responder_04,73,0.7594162927433046,0.004473729496543122,0.06838707724675497,0.3948105036111808,0.004258847895562781,0.9500841216189728,0.00036231819566012735,0.00011952078279753309,-0.00024279741286259426
43,responder_05,71,0.7541522486828486,0.004175675439922699,0.07014115254103026,0.21725929877523342,0.0047644498163096774,0.914473689988765,0.00036231819566012735,5.0077201899201285e-05,-0.00031224099376092607
44,responder_30,71,0.0013831562180687262,0.0013795826491107555,0.04885549997535737,0.38957384167430126,0.001290823856913852,0.2731819927803965,0.00036231819566012735,-4.660770838382788e-06,-0.00036697896649851014
45,responder_06,104,0.7505192924676606,0.003911597936254174,0.07682501668354982,0.07671660761991606,0.0029125075699808272,0.7356887447880197,0.00036231819566012735,-2.395627575002557e-05,-0.0003862744714101529
46,responder_03,44,0.7792990395333526,0.0012752201840571242,0.0365955734954217,0.813361626524811,-0.0051673818834459895,1.4612870437925864,0.00036231819566012735,-5.330262220781812e-05,-0.00041562081786794547
47,responder_29,68,0.0005666143017453162,0.0005663043144374935,0.037401855417825064,0.5573991819834021,0.00272350957745753,0.3644310816508936,0.00036231819566012735,-6.898170907754242e-05,-0.00043129990473766977
